Date,Close,Stat
01.01.2015,388.5,0.354954955
08.01.2015,386.2,0.36302434
15.01.2015,386.2,0.36302434
22.01.2015,379.4,0.387453875
29.01.2015,378.1,0.392224279
05.02.2015,376.3,0.398883869
12.02.2015,374.7,0.404857219
19.02.2015,368.3,0.429269617
26.02.2015,364.6,0.443773999
05.03.2015,363,0.450137741
12.03.2015,356.7,0.47574993
19.03.2015,351.7,0.496730168
26.03.2015,352.9,0.491640691
02.04.2015,360.8,0.458980044
09.04.2015,355.3,0.481564875
16.04.2015,354.1,0.48658571
23.04.2015,350.5,0.501854494
30.04.2015,353.5,0.489108911
07.05.2015,358.5,0.468340307
14.05.2015,358.5,0.468340307
21.05.2015,362.3,0.452939553
28.05.2015,360.5,0.460194175
04.06.2015,356.5,0.47657784
11.06.2015,361.6,0.455752212
18.06.2015,360.6,0.45978924
25.06.2015,364.6,0.443773999
02.07.2015,362,0.454143646
09.07.2015,359.6,0.463848721
16.07.2015,359.9,0.462628508
23.07.2015,358.2,0.469570073
30.07.2015,358.3,0.469159922
06.08.2015,357.6,0.472035794
13.08.2015,358,0.470391061
20.08.2015,362.9,0.450537338
27.08.2015,364.6,0.443773999
03.09.2015,366.4,0.436681223
10.09.2015,365.3,0.441007391
17.09.2015,365.1,0.441796768
24.09.2015,369,0.426558266
01.10.2015,368.5,0.428493894
08.10.2015,370.2,0.42193409
15.10.2015,373.8,0.4082397
22.10.2015,377.3,0.395176252
29.10.2015,374.6,0.405232248
05.11.2015,369.2,0.425785482
12.11.2015,366.1,0.437858509
19.11.2015,364.1,0.44575666
26.11.2015,364.5,0.444170096
03.12.2015,364.9,0.44258701
10.12.2015,364.4,0.444566411
17.12.2015,371.2,0.418103448
24.12.2015,368.9,0.426944972
31.12.2015,368.9,0.426944972
07.01.2016,370.2,0.42193409
14.01.2016,368.1,0.430046183
21.01.2016,368.3,0.429269617
28.01.2016,369.3,0.425399404
04.02.2016,371.3,0.417721519
11.02.2016,376.7,0.39739846
18.02.2016,382.4,0.376569038
25.02.2016,379.4,0.387453875
03.03.2016,379.8,0.385992628
10.03.2016,379,0.388918206
17.03.2016,381.1,0.38126476
24.03.2016,386.9,0.360558284
31.03.2016,383.5,0.3726206
07.04.2016,387,0.360206718
14.04.2016,387.9,0.357050786
21.04.2016,386.2,0.36302434
28.04.2016,388.6,0.354606279
05.05.2016,390.1,0.34939759
12.05.2016,391.9,0.343199796
19.05.2016,390.9,0.346635968
26.05.2016,388.3,0.355652846
02.06.2016,389,0.353213368
09.06.2016,388.9,0.353561327
16.06.2016,393.9,0.336379792
23.06.2016,394.7,0.333671143
30.06.2016,395.1,0.332320931
07.07.2016,393.7,0.337058674
14.07.2016,394.7,0.333671143
21.07.2016,393.3,0.33841851
28.07.2016,392.2,0.342172361
04.08.2016,394.5,0.334347275
11.08.2016,396.4,0.327951564
18.08.2016,395.7,0.330300733
25.08.2016,398.2,0.321948769
01.09.2016,396.9,0.32627866
08.09.2016,394.3,0.335024093
15.09.2016,399.6,0.317317317
22.09.2016,396.6,0.327281896
29.09.2016,398,0.322613065
06.10.2016,397.7,0.323610762
13.10.2016,395.4,0.331310066
20.10.2016,391.4,0.344915687
27.10.2016,391.3,0.345259392
03.11.2016,391,0.34629156
10.11.2016,395.7,0.330300733
17.11.2016,393.1,0.339099466
24.11.2016,389.4,0.351823318
01.12.2016,385.7,0.364791289
08.12.2016,385.3,0.366208149
15.12.2016,387,0.360206718
22.12.2016,379,0.388918206
29.12.2016,379.1,0.388551833
05.01.2017,379.1,0.388551833
12.01.2017,377.7,0.393698703
19.01.2017,385.4,0.365853659
26.01.2017,385.9,0.36408396
02.02.2017,392.5,0.341146497
09.02.2017,394.1,0.335701599
16.02.2017,394.1,0.335701599
23.02.2017,393.6,0.337398374
02.03.2017,393.5,0.337738247
09.03.2017,393,0.339440204
16.03.2017,393.4,0.338078292
23.03.2017,395.7,0.330300733
30.03.2017,399,0.319298246
06.04.2017,397.9,0.322945464
13.04.2017,395.7,0.330300733
20.04.2017,398.4,0.321285141
27.04.2017,400,0.316
04.05.2017,401.1,0.312390925
11.05.2017,398.8,0.31995988
18.05.2017,399.7,0.316987741
25.05.2017,405,0.299753086
01.06.2017,406.1,0.296232455
08.06.2017,407,0.293366093
15.06.2017,408.3,0.289248102
22.06.2017,406.4,0.295275591
29.06.2017,408.8,0.287671233
06.07.2017,412.2,0.277049976
13.07.2017,410.9,0.28109029
20.07.2017,412.6,0.275811924
27.07.2017,414.7,0.269351338
03.08.2017,418.9,0.256624493
10.08.2017,420.1,0.253034992
17.08.2017,419.9,0.253631817
24.08.2017,419.9,0.253631817
31.08.2017,420.5,0.251843044
07.09.2017,423.1,0.244150319
14.09.2017,427.3,0.231921367
21.09.2017,427.6,0.231057063
28.09.2017,427.1,0.232498244
05.10.2017,424,0.241509434
12.10.2017,423.3,0.243562485
19.10.2017,427,0.232786885
26.10.2017,425.6,0.236842105
02.11.2017,425.5,0.237132785
09.11.2017,426.3,0.234811166
16.11.2017,426.4,0.234521576
23.11.2017,427.6,0.231057063
30.11.2017,430.2,0.223616922
07.12.2017,430.6,0.22248026
