Дата,Период,Факт,Прогноз,Пред,Ед. изм.
10.06.2015,,-2.939,0.280,-0.334,млн барр.
17.06.2015,,0.46,-0.314,-2.939,млн барр.
24.06.2015,,0.68,-0.304,0.460,млн барр.
01.07.2015,,-1.757,0.458,0.680,млн барр.
08.07.2015,,1.215,-0.254,-1.757,млн барр.
15.07.2015,,0.058,0.679,1.215,млн барр.
22.07.2015,,-1.725,0.925,0.058,млн барр.
29.07.2015,,-0.363,0.512,-1.725,млн барр.
05.08.2015,,0.811,-0.488,-0.363,млн барр.
12.08.2015,,-1.251,-0.647,0.811,млн барр.
19.08.2015,,-2.708,-1.614,-1.251,млн барр.
26.08.2015,,1.66,-1.317,-2.708,млн барр.
02.09.2015,,-0.271,-1.328,1.660,млн барр.
10.09.2015,,0.384,-0.567,-0.271,млн барр.
16.09.2015,,2.84,-0.021,0.384,млн барр.
23.09.2015,,1.369,0.900,2.840,млн барр.
30.09.2015,,3.254,-0.040,1.369,млн барр.
07.10.2015,,1.91,0.467,3.254,млн барр.
15.10.2015,,-2.618,-1.695,1.910,млн барр.
21.10.2015,,-1.518,-0.858,-2.618,млн барр.
28.10.2015,,-1.137,-0.817,-1.518,млн барр.
04.11.2015,,-3.3,-0.969,-1.137,млн барр.
12.11.2015,,-2.102,-0.807,-3.300,млн барр.
18.11.2015,,1.009,-0.367,-2.102,млн барр.
25.11.2015,,2.478,0.938,1.009,млн барр.
02.12.2015,,0.135,1.453,2.478,млн барр.
09.12.2015,,0.786,2.155,0.135,млн барр.
16.12.2015,,1.731,1.952,0.786,млн барр.
23.12.2015,,1.111,1.383,1.731,млн барр.
30.12.2015,,0.925,0.896,1.111,млн барр.
06.01.2016,,10.576,2.308,0.925,млн барр.
13.01.2016,,8.438,2.786,10.576,млн барр.
21.01.2016,,4.563,1.378,8.438,млн барр.
27.01.2016,,3.464,1.546,4.563,млн барр.
03.02.2016,,5.938,1.700,3.464,млн барр.
10.02.2016,,1.258,0.417,5.938,млн барр.
18.02.2016,,3.036,0.500,1.258,млн барр.
24.02.2016,,-2.236,-1.033,3.036,млн барр.
02.03.2016,,-1.468,-1.083,-2.236,млн барр.
09.03.2016,,-4.526,-1.390,-1.468,млн барр.
16.03.2016,,-0.747,-2.339,-4.526,млн барр.
23.03.2016,,-4.642,-1.482,-0.747,млн барр.
30.03.2016,,-2.514,-2.179,-4.642,млн барр.
06.04.2016,,1.438,-0.967,-2.514,млн барр.
13.04.2016,,-4.237,-1.393,1.438,млн барр.
20.04.2016,,-0.11,-1.217,-4.237,млн барр.
27.04.2016,,1.608,-0.400,-0.110,млн барр.
