Δΰςΰ,Οεπθξδ,Τΰκς,Οπξγνξη,Οπεδ,Εδ. θημ.,,values
02.05.2008,Μΰπ ' 08,1.4 ,0.2,-1.3,%,1.4 ,1.4
03.06.2008,ΐοπ ' 08,1.1 ,-0.1,1.4,%,1.1 ,1.1
02.07.2008,Μΰι ' 08,0.6 ,0.4,1.1,%,0.6 ,0.6
04.08.2008,Θών ' 08,1.7 ,0.7,0.6,%,1.7 ,1.7
03.09.2008,Θώλ ' 08,1.3 ,0.4,1.7,%,1.3 ,1.3
02.10.2008,ΐβγ ' 08,-4.0 ,-2.5,1.3,%,-4.0 ,-4
04.11.2008,Ρεν ' 08,-2.5 ,-0.7,-4,%,-2.5 ,-2.5
04.12.2008,Ξκς ' 08,-5.1 ,-4,-2.5,%,-5.1 ,-5.1
06.01.2009,Νξÿ ' 08,-4.6 ,-2.5,-5.1,%,-4.6 ,-4.6
05.02.2009,Δεκ ' 08,-3.9 ,-3,-4.6,%,-3.9 ,-3.9
05.03.2009,ίνβ ' 09,-1.9 ,-3.5,-3.9,%,-1.9 ,-1.9
02.04.2009,Τεβ ' 09,1.8 ,1.5,-1.9,%,1.8 ,1.8
01.05.2009,Μΰπ ' 09,-0.9 ,-0.6,1.8,%,-0.9 ,-0.9
03.06.2009,ΐοπ ' 09,0.7 ,0.9,-0.9,%,0.7 ,0.7
02.07.2009,Μΰι ' 09,1.2 ,0.8,0.7,%,1.2 ,1.2
05.08.2009,Θών ' 09,0.4 ,-1,1.2,%,0.4 ,0.4
02.09.2009,Θώλ ' 09,1.3 ,2.2,0.4,%,1.3 ,1.3
02.10.2009,ΐβγ ' 09,-0.8 ,0.3,1.3,%,-0.8 ,-0.8
03.11.2009,Ρεν ' 09,0.9 ,0.8,-0.8,%,0.9 ,0.9
04.12.2009,Ξκς ' 09,0.6 ,0,0.9,%,0.6 ,0.6
05.01.2010,Νξÿ ' 09,1.1 ,0.5,0.6,%,1.1 ,1.1
04.02.2010,Δεκ ' 09,1.0 ,0.5,0.6,%,1.0 ,1
04.03.2010,ίνβ ' 10,1.7 ,1.8,1,%,1.7 ,1.7
31.03.2010,Τεβ ' 10,0.6 ,0.5,1.7,%,0.6 ,0.6
04.05.2010,Μΰπ ' 10,1.3 ,-0.1,0.6,%,1.3 ,1.3
03.06.2010,ΐοπ ' 10,1.2 ,1.8,1.1,%,1.2 ,1.2
02.07.2010,Μΰι ' 10,-1.4 ,-0.5,1.2,%,-1.4 ,-1.4
03.08.2010,Θών ' 10,-1.2 ,-0.5,-1.4,%,-1.2 ,-1.2
02.09.2010,Θώλ ' 10,0.1 ,0.3,-1.2,%,0.1 ,0.1
04.10.2010,ΐβγ ' 10,-0.5 ,-0.4,0.1,%,-0.5 ,-0.5
03.11.2010,Ρεν ' 10,2.1 ,1.6,-0.5,%,2.1 ,2.1
03.12.2010,Ξκς ' 10,-0.9 ,-1,2.1,%,-0.9 ,-0.9
04.01.2011,Νξÿ ' 10,0.7 ,-0.1,-0.9,%,0.7 ,0.7
03.02.2011,Δεκ ' 10,0.2 ,-0.5,0.7,%,0.2 ,0.2
04.03.2011,ίνβ ' 11,3.1 ,2,0.2,%,3.1 ,3.1
31.03.2011,Τεβ ' 11,-0.1 ,0.5,3.1,%,-0.1 ,-0.1
03.05.2011,Μΰπ ' 11,3.0 ,1.9,-0.1,%,3.0 ,3
02.06.2011,ΐοπ ' 11,-1.2 ,-1,3.4,%,-1.2 ,-1.2
05.07.2011,Μΰι ' 11,0.8 ,1,-1.2,%,0.8 ,0.8
03.08.2011,Θών ' 11,-0.8 ,-0.7,0.8,%,-0.8 ,-0.8
31.08.2011,Θώλ ' 11,2.4 ,1.9,-0.8,%,2.4 ,2.4
04.10.2011,ΐβγ ' 11,-0.2 ,0,2.4,%,-0.2 ,-0.2
03.11.2011,Ρεν ' 11,0.3 ,-0.1,-0.2,%,0.3 ,0.3
05.12.2011,Ξκς ' 11,-0.4 ,-0.3,0.3,%,-0.4 ,-0.4
04.01.2012,Νξÿ ' 11,1.8 ,1.7,-0.4,%,1.8 ,1.8
03.02.2012,Δεκ ' 11,1.1 ,1.5,1.8,%,1.1 ,1.1
05.03.2012,ίνβ ' 12,-1.0 ,-1.5,1.1,%,-1.0 ,-1
03.04.2012,Τεβ ' 12,1.3 ,1.5,-1,%,1.3 ,1.3
02.05.2012,Μΰπ ' 12,-1.5 ,-1.6,1.3,%,-1.5 ,-1.5
